datetime,nickname,client_ip,event,score
2026-09-15 13:56:39.466,kk,172.16.10.145,connect,
2026-09-15 13:56:48.900,kk,172.16.10.145,start,
2026-09-15 13:56:50.271,kk,172.16.10.145,click,1
2026-09-15 13:56:50.455,kk,172.16.10.145,click,2
2026-09-15 13:56:50.630,kk,172.16.10.145,click,3
2026-09-15 13:56:50.848,kk,172.16.10.145,click,4
2026-09-15 13:56:51.206,kk,172.16.10.145,click,5
2026-09-15 13:56:51.411,kk,172.16.10.145,click,6
2026-09-15 13:56:51.562,kk,172.16.10.145,click,7
2026-09-15 13:56:51.763,kk,172.16.10.145,click,8
2026-09-15 13:56:51.936,kk,172.16.10.145,click,9
2026-09-15 13:56:52.122,kk,172.16.10.145,click,10
2026-09-15 13:56:52.325,kk,172.16.10.145,click,11
2026-09-15 13:56:52.694,kk,172.16.10.145,click,12
2026-09-15 13:56:52.917,kk,172.16.10.145,click,13
2026-09-15 13:56:53.108,kk,172.16.10.145,click,14
2026-09-15 13:56:53.292,kk,172.16.10.145,click,15
2026-09-15 13:56:53.516,kk,172.16.10.145,click,16
2026-09-15 13:56:53.696,kk,172.16.10.145,click,17
2026-09-15 13:56:53.899,kk,172.16.10.145,click,18
2026-09-15 13:56:54.124,kk,172.16.10.145,click,19
2026-09-15 13:56:55.661,kk,172.16.10.145,click,20
2026-09-15 13:56:58.907,kk,172.16.10.145,end,20
2026-09-15 14:01:36.748,kk,172.16.10.145,connect,
2026-09-15 14:01:39.149,kk,172.16.10.145,start,
2026-09-15 14:01:39.636,kk,172.16.10.145,click,1
2026-09-15 14:01:39.829,kk,172.16.10.145,click,2
2026-09-15 14:01:40.052,kk,172.16.10.145,click,3
2026-09-15 14:01:40.236,kk,172.16.10.145,click,4
2026-09-15 14:01:40.446,kk,172.16.10.145,click,5
2026-09-15 14:01:40.621,kk,172.16.10.145,click,6
2026-09-15 14:01:40.836,kk,172.16.10.145,click,7
2026-09-15 14:01:41.020,kk,172.16.10.145,click,8
2026-09-15 14:01:41.222,kk,172.16.10.145,click,9
2026-09-15 14:01:49.161,kk,172.16.10.145,end,9
2026-09-15 14:02:19.204,kk,172.16.10.145,start,
2026-09-15 14:02:20.460,kk,172.16.10.145,click,1
2026-09-15 14:02:20.820,kk,172.16.10.145,click,2
2026-09-15 14:02:21.188,kk,172.16.10.145,click,3
2026-09-15 14:02:21.436,kk,172.16.10.145,click,4
2026-09-15 14:02:21.748,kk,172.16.10.145,click,5
2026-09-15 14:02:21.916,kk,172.16.10.145,click,6
2026-09-15 14:02:22.068,kk,172.16.10.145,click,7
2026-09-15 14:02:22.213,kk,172.16.10.145,click,8
2026-09-15 14:02:29.218,kk,172.16.10.145,end,8
