datetime,cpu_percent,memory_percent,memory_used_mb,bytes_sent_total,bytes_recv_total,bytes_sent_1sec,bytes_recv_1sec
2026-09-15 14:01:21,17.1,48.5,15759.66,832374795,8692518148,5102,7957
2026-09-15 14:01:22,10.2,48.5,15753.9,832383747,8692555081,8952,36933
2026-09-15 14:01:23,8.5,48.5,15748.74,832388914,8692566745,5167,11664
2026-09-15 14:01:24,4.6,48.4,15730.71,832391438,8692576578,2524,9833
2026-09-15 14:01:25,8.2,48.4,15721.99,832392685,8692584395,1247,7817
2026-09-15 14:01:26,9.0,48.4,15715.75,832393772,8692587501,1087,3106
2026-09-15 14:01:27,10.4,48.5,15743.77,832413883,8692594215,20111,6714
2026-09-15 14:01:28,5.5,48.4,15723.71,832417006,8692604647,3123,10432
2026-09-15 14:01:29,9.1,48.4,15731.07,832417963,8692607016,957,2369
2026-09-15 14:01:30,20.4,48.4,15736.76,832419369,8692609576,1406,2560
2026-09-15 14:01:31,26.0,48.7,15826.44,832428386,8692624378,9017,14802
2026-09-15 14:01:32,19.9,48.7,15825.0,832434041,8692627233,5655,2855
2026-09-15 14:01:33,8.6,48.7,15830.13,832438986,8692633053,4945,5820
2026-09-15 14:01:34,8.3,48.7,15830.44,832442080,8692645130,3094,12077
2026-09-15 14:01:35,9.9,48.7,15829.18,832442799,8692648243,719,3113
2026-09-15 14:01:36,9.7,48.7,15838.48,832444316,8692653819,1517,5576
2026-09-15 14:01:37,12.7,48.8,15842.87,832445868,8692657235,1552,3416
2026-09-15 14:01:38,25.9,48.7,15818.55,832461433,8692665981,15565,8746
2026-09-15 14:01:39,15.3,48.6,15798.25,832467031,8692673776,5598,7795
2026-09-15 14:01:40,17.3,48.7,15809.38,832469171,8692680717,2140,6941
2026-09-15 14:01:41,28.1,48.6,15799.89,832501067,8692685438,31896,4721
2026-09-15 14:01:42,12.6,48.6,15792.17,832502614,8692705729,1547,20291
2026-09-15 14:01:43,19.2,48.5,15770.4,832507948,8692714255,5334,8526
2026-09-15 14:01:44,10.2,48.6,15783.96,832509690,8692720966,1742,6711
2026-09-15 14:01:45,14.4,48.6,15787.79,832516458,8692735898,6768,14932
2026-09-15 14:01:46,12.2,48.6,15784.86,832518245,8692743039,1787,7141
2026-09-15 14:01:47,10.9,48.6,15783.24,832519582,8692747943,1337,4904
2026-09-15 14:01:48,11.2,48.6,15788.88,832520174,8692752076,592,4133
2026-09-15 14:01:49,27.5,48.6,15797.17,832521917,8692757240,1743,5164
2026-09-15 14:01:50,15.8,48.6,15789.39,832523651,8692761332,1734,4092
2026-09-15 14:01:51,19.1,48.6,15788.48,832529122,8692766182,5471,4850
2026-09-15 14:01:52,11.0,48.6,15790.81,832529946,8692769591,824,3409
2026-09-15 14:01:53,11.9,48.8,15839.44,832535662,8692793608,5716,24017
2026-09-15 14:01:54,12.9,48.8,15839.93,832537308,8692800414,1646,6806
2026-09-15 14:01:55,15.7,48.7,15834.08,832539382,8692814540,2074,14126
2026-09-15 14:01:56,6.7,48.8,15844.48,832540779,8692820250,1397,5710
2026-09-15 14:01:57,11.6,48.7,15831.75,832541923,8692823882,1144,3632
2026-09-15 14:01:58,11.6,48.7,15834.29,832543733,8692831794,1810,7912
2026-09-15 14:02:00,12.0,48.7,15820.33,832544599,8692834954,866,3160
2026-09-15 14:02:01,12.6,48.6,15800.22,832545985,8692840758,1386,5804
2026-09-15 14:02:02,11.5,48.7,15810.48,832547796,8692848044,1811,7286
