time,target,action,lib,width,height,mem_before_mb,mem_after_mb,mem_delta_mb,cpu_pct,elapsed_s
2026-09-15 16:10:41,pokemon_100k,count,csv-stream,,,14.7,14.9,0.2,99.9,0.167
2026-09-15 16:10:42,pokemon_100k,count,csv-list,,,14.9,17.1,2.2,100.1,0.2
2026-09-15 16:32:38,pokemon_1m,filter,단일조건,,,188.1,191.5,3.4,0.0,0.008
2026-09-15 16:32:38,pokemon_1m,filter,복합조건,,,189.8,193.4,3.6,100.8,0.023
2026-09-15 16:41:33,1k,agg,csv-stream,,,72.1,72.1,0.0,0.0,0.002
2026-09-15 16:41:33,1k,agg,csv-list,,,72.1,72.9,0.8,0.0,0.002
2026-09-15 16:41:33,1k,agg,pandas,,,72.9,75.1,2.2,0.0,0.009
2026-09-15 16:41:33,1k,agg,pandas-opt,,,75.1,75.2,0.1,0.0,0.004
2026-09-15 16:41:34,100k,agg,csv-stream,,,75.2,75.2,0.0,88.7,0.285
2026-09-15 16:41:34,100k,agg,csv-list,,,75.2,77.1,1.9,79.9,0.378
2026-09-15 16:41:34,100k,agg,pandas,,,77.1,82.3,5.2,100.3,0.178
2026-09-15 16:41:34,100k,agg,pandas-opt,,,82.3,82.6,0.3,100.2,0.071
2026-09-15 16:41:36,1m,agg,csv-stream,,,82.6,82.7,0.1,98.5,2.028
2026-09-15 16:41:39,1m,agg,csv-list,,,82.7,87.3,4.6,98.0,2.306
2026-09-15 16:41:40,1m,agg,pandas,,,87.3,143.8,56.5,99.9,1.703
2026-09-15 16:41:41,1m,agg,pandas-opt,,,143.8,145.0,1.2,100.0,0.578
2026-09-15 17:56:53,pokemon_1m,dashboard-base,pandas-read,,,341.7,392.8,51.1,97.2,1.65
2026-09-15 17:56:58,pokemon_1m,dashboard-base,pandas-read,,,318.6,372.1,53.5,95.2,1.951
2026-09-15 17:56:58,pokemon_1m,dashboard-base,pandas-filter,,,372.2,405.3,33.1,66.5,0.101
2026-09-15 17:57:08,pokemon_1m,dashboard-base,pandas-read,,,352.1,458.3,106.2,111.1,1.835
2026-09-15 17:57:09,pokemon_1m,dashboard-base,pandas-read,,,522.6,367.8,-154.8,109.3,2.172
2026-09-15 17:57:09,pokemon_1m,dashboard-base,pandas-filter,,,367.9,428.7,60.8,98.9,0.07
2026-09-16 10:04:24,pokemon_1m,dashboard-base,pandas-read,,,93.9,209.0,115.1,88.8,4.032
2026-09-16 10:04:24,pokemon_1m,dashboard-base,pandas-filter,,,209.5,242.4,32.9,87.5,0.121
2026-09-16 10:04:51,pokemon_1m,dashboard-base,pandas-read,,,119.4,234.5,115.1,95.6,2.109
2026-09-16 10:04:51,pokemon_1m,dashboard-base,pandas-filter,,,235.0,267.8,32.8,99.4,0.109
